purchase_date,total_price,promo_name,sales_after_promo,status_promo
2022-07-03,105000,,105000,Tanpa Promo
2022-07-03,310000,,310000,Tanpa Promo
2022-07-03,128000,,128000,Tanpa Promo
2022-07-03,370000,GRATIS_ONGKIR,365000,Dengan Promo
2022-07-03,1245000,GRATIS_ONGKIR,1240000,Dengan Promo
2022-07-03,699000,GRATIS_ONGKIR,694000,Dengan Promo
2022-07-03,101000,GRATIS_ONGKIR,96000,Dengan Promo
2022-07-03,435000,GRATIS_ONGKIR,430000,Dengan Promo
2022-07-03,327000,,327000,Tanpa Promo
2022-07-03,151500,,151500,Tanpa Promo
2022-07-03,231000,,231000,Tanpa Promo
2022-07-03,62000,GRATIS_ONGKIR,57000,Dengan Promo
2022-07-03,30999,,30999,Tanpa Promo
2022-07-03,374700,GRATIS_ONGKIR,369700,Dengan Promo
2022-07-04,104000,,104000,Tanpa Promo
2022-07-04,436000,,436000,Tanpa Promo
2022-07-04,194700,,194700,Tanpa Promo
2022-07-04,130000,,130000,Tanpa Promo
2022-07-04,159000,GRATIS_ONGKIR,154000,Dengan Promo
2022-07-04,375000,GRATIS_ONGKIR,370000,Dengan Promo
2022-07-04,387600,GRATIS_ONGKIR,382600,Dengan Promo
2022-07-04,2380,,2380,Tanpa Promo
2022-07-04,130000,GRATIS_ONGKIR,125000,Dengan Promo
2022-07-04,1050,GRATIS_ONGKIR,-3950,Dengan Promo
2022-07-04,3340,GRATIS_ONGKIR,-1660,Dengan Promo
2022-07-04,253935,GRATIS_ONGKIR,248935,Dengan Promo
2022-07-04,837000,,837000,Tanpa Promo
2022-07-04,260000,,260000,Tanpa Promo
2022-07-04,555000,GRATIS_ONGKIR,550000,Dengan Promo
2022-07-05,110000,GRATIS_ONGKIR,105000,Dengan Promo
2022-07-05,292500,,292500,Tanpa Promo
2022-07-05,97500,,97500,Tanpa Promo
2022-07-05,164700,GRATIS_ONGKIR,159700,Dengan Promo
2022-07-05,75999,,75999,Tanpa Promo
2022-07-05,485997,,485997,Tanpa Promo
2022-07-05,384000,,384000,Tanpa Promo
2022-07-05,269000,,269000,Tanpa Promo
2022-07-05,2097000,GRATIS_ONGKIR,2092000,Dengan Promo
2022-07-05,72000,,72000,Tanpa Promo
2022-07-05,100000,,100000,Tanpa Promo
2022-07-05,13135,GRATIS_ONGKIR,8135,Dengan Promo
2022-07-05,1415000,,1415000,Tanpa Promo
2022-07-05,85000,,85000,Tanpa Promo
2022-07-05,95800,,95800,Tanpa Promo
2022-07-05,159800,GRATIS_ONGKIR,154800,Dengan Promo
2022-07-05,119600,GRATIS_ONGKIR,114600,Dengan Promo
2022-07-05,435998,GRATIS_ONGKIR,430998,Dengan Promo
2022-07-05,43000,,43000,Tanpa Promo
2022-07-05,94000,,94000,Tanpa Promo
2022-07-05,185000,GRATIS_ONGKIR,180000,Dengan Promo
2022-07-05,169000,,169000,Tanpa Promo
2022-07-06,139000,,139000,Tanpa Promo
2022-07-06,4977000,GRATIS_ONGKIR,4972000,Dengan Promo
2022-07-06,162500,GRATIS_ONGKIR,157500,Dengan Promo
2022-07-06,25500,GRATIS_ONGKIR,20500,Dengan Promo
2022-07-06,86000,GRATIS_ONGKIR,81000,Dengan Promo
2022-07-06,65172,GRATIS_ONGKIR,60172,Dengan Promo
2022-07-06,131000,,131000,Tanpa Promo
2022-07-06,69642,GRATIS_ONGKIR,64642,Dengan Promo
2022-07-06,220000,GRATIS_ONGKIR,215000,Dengan Promo
2022-07-06,169000,,169000,Tanpa Promo
2022-07-06,25260,GRATIS_ONGKIR,20260,Dengan Promo
2022-07-06,493000,,493000,Tanpa Promo
2022-07-06,128000,GRATIS_ONGKIR,123000,Dengan Promo
2022-07-06,224850,GRATIS_ONGKIR,219850,Dengan Promo
2022-07-06,109000,GRATIS_ONGKIR,104000,Dengan Promo
2022-07-06,279000,GRATIS_ONGKIR,274000,Dengan Promo
2022-07-06,39500,,39500,Tanpa Promo
2022-07-06,478800,GRATIS_ONGKIR,473800,Dengan Promo
2022-07-06,157500,GRATIS_ONGKIR,152500,Dengan Promo
2022-07-06,200000,,200000,Tanpa Promo
2022-07-06,62000,,62000,Tanpa Promo
2022-07-06,267000,,267000,Tanpa Promo
2022-07-06,179997,GRATIS_ONGKIR,174997,Dengan Promo
2022-07-06,237000,GRATIS_ONGKIR,232000,Dengan Promo
2022-07-06,55550,,55550,Tanpa Promo
2022-07-07,55000,,55000,Tanpa Promo
2022-07-07,99000,GRATIS_ONGKIR,94000,Dengan Promo
2022-07-07,55365,GRATIS_ONGKIR,50365,Dengan Promo
2022-07-07,106000,,106000,Tanpa Promo
2022-07-07,75000,GRATIS_ONGKIR,70000,Dengan Promo
2022-07-07,49875,,49875,Tanpa Promo
2022-07-07,58275,,58275,Tanpa Promo
2022-07-07,260000,,260000,Tanpa Promo
2022-07-07,135290,GRATIS_ONGKIR,130290,Dengan Promo
2022-07-07,91800,,91800,Tanpa Promo
2022-07-07,35200,,35200,Tanpa Promo
2022-07-07,650000,GRATIS_ONGKIR,645000,Dengan Promo
2022-07-07,142000,GRATIS_ONGKIR,137000,Dengan Promo
2022-07-07,231750,GRATIS_ONGKIR,226750,Dengan Promo
2022-07-07,198000,GRATIS_ONGKIR,193000,Dengan Promo
2022-07-07,129500,GRATIS_ONGKIR,124500,Dengan Promo
2022-07-07,30000,,30000,Tanpa Promo
2022-07-07,128040,,128040,Tanpa Promo
2022-07-07,145360,GRATIS_ONGKIR,140360,Dengan Promo
2022-07-07,189000,GRATIS_ONGKIR,184000,Dengan Promo
2022-07-07,296907,GRATIS_ONGKIR,291907,Dengan Promo
2022-07-07,6600,,6600,Tanpa Promo
2022-07-07,137776,,137776,Tanpa Promo
2022-07-07,195000,,195000,Tanpa Promo
2022-07-08,25260,GRATIS_ONGKIR,20260,Dengan Promo
2022-07-08,780000,GRATIS_ONGKIR,775000,Dengan Promo
2022-07-08,111100,,111100,Tanpa Promo
2022-07-08,59700,,59700,Tanpa Promo
2022-07-08,300000,GRATIS_ONGKIR,295000,Dengan Promo
2022-07-08,415000,,415000,Tanpa Promo
2022-07-08,318000,,318000,Tanpa Promo
2022-07-08,1350000,,1350000,Tanpa Promo
2022-07-08,94000,,94000,Tanpa Promo
2022-07-08,326250,,326250,Tanpa Promo
2022-07-08,26000,GRATIS_ONGKIR,21000,Dengan Promo
2022-07-08,75999,,75999,Tanpa Promo
2022-07-08,435998,,435998,Tanpa Promo
2022-07-08,405000,GRATIS_ONGKIR,400000,Dengan Promo
2022-07-08,68700,,68700,Tanpa Promo
2022-07-08,338000,GRATIS_ONGKIR,333000,Dengan Promo
2022-07-08,66000,,66000,Tanpa Promo
2022-07-08,121000,,121000,Tanpa Promo
2022-07-08,747000,,747000,Tanpa Promo
2022-07-08,400000,GRATIS_ONGKIR,395000,Dengan Promo
2022-07-08,202710,,202710,Tanpa Promo
2022-07-08,110000,GRATIS_ONGKIR,105000,Dengan Promo
2022-07-08,550000,GRATIS_ONGKIR,545000,Dengan Promo
2022-07-08,420000,GRATIS_ONGKIR,415000,Dengan Promo
2022-07-08,6600,GRATIS_ONGKIR,1600,Dengan Promo
2022-07-08,49000,GRATIS_ONGKIR,44000,Dengan Promo
2022-07-08,145000,,145000,Tanpa Promo
2022-07-08,207800,,207800,Tanpa Promo
2022-07-08,21500,,21500,Tanpa Promo
2022-07-08,315000,,315000,Tanpa Promo
2022-07-09,30999,GRATIS_ONGKIR,25999,Dengan Promo
2022-07-09,91800,GRATIS_ONGKIR,86800,Dengan Promo
2022-07-09,68000,GRATIS_ONGKIR,63000,Dengan Promo
2022-07-09,236370,,236370,Tanpa Promo
2022-07-09,229000,,229000,Tanpa Promo
2022-07-09,78000,,78000,Tanpa Promo
2022-07-09,300000,,300000,Tanpa Promo
2022-07-09,3980000,GRATIS_ONGKIR,3975000,Dengan Promo
2022-07-09,260000,,260000,Tanpa Promo
2022-07-09,120000,GRATIS_ONGKIR,115000,Dengan Promo
2022-07-09,290982,GRATIS_ONGKIR,285982,Dengan Promo
2022-07-09,472500,GRATIS_ONGKIR,467500,Dengan Promo
2022-07-09,265500,,265500,Tanpa Promo
2022-07-09,440000,,440000,Tanpa Promo
2022-07-09,85320,,85320,Tanpa Promo
2022-07-09,197500,,197500,Tanpa Promo
2022-07-09,35000,,35000,Tanpa Promo
2022-07-09,278500,,278500,Tanpa Promo
2022-07-09,458000,,458000,Tanpa Promo
2022-07-09,389700,,389700,Tanpa Promo
2022-07-09,116000,GRATIS_ONGKIR,111000,Dengan Promo
2022-07-09,716000,GRATIS_ONGKIR,711000,Dengan Promo
2022-07-09,290000,GRATIS_ONGKIR,285000,Dengan Promo
2022-07-09,296907,GRATIS_ONGKIR,291907,Dengan Promo
2022-07-09,5970000,GRATIS_ONGKIR,5965000,Dengan Promo
2022-07-09,1670,,1670,Tanpa Promo
2022-07-09,53776,,53776,Tanpa Promo
2022-07-09,693000,,693000,Tanpa Promo
2022-07-09,64020,,64020,Tanpa Promo
2022-07-09,192060,,192060,Tanpa Promo
2022-07-09,3700,,3700,Tanpa Promo
2022-07-09,49400,,49400,Tanpa Promo
2022-07-09,56900,GRATIS_ONGKIR,51900,Dengan Promo
2022-07-09,599997,GRATIS_ONGKIR,594997,Dengan Promo
2022-07-09,345000,,345000,Tanpa Promo
2022-07-09,169000,GRATIS_ONGKIR,164000,Dengan Promo
2022-07-10,119700,GRATIS_ONGKIR,114700,Dengan Promo
2022-07-10,8550000,GRATIS_ONGKIR,8545000,Dengan Promo
2022-07-10,122052,,122052,Tanpa Promo
2022-07-10,379800,,379800,Tanpa Promo
2022-07-10,415000,GRATIS_ONGKIR,410000,Dengan Promo
2022-07-10,156000,GRATIS_ONGKIR,151000,Dengan Promo
2022-07-10,91800,,91800,Tanpa Promo
2022-07-10,30600,GRATIS_ONGKIR,25600,Dengan Promo
2022-07-10,22900,,22900,Tanpa Promo
2022-07-10,100000,,100000,Tanpa Promo
2022-07-10,39800,,39800,Tanpa Promo
2022-07-10,534966,,534966,Tanpa Promo
2022-07-10,2800,,2800,Tanpa Promo
2022-07-10,780000,GRATIS_ONGKIR,775000,Dengan Promo
2022-07-10,348750,,348750,Tanpa Promo
2022-07-10,480000,,480000,Tanpa Promo
2022-07-10,64000,GRATIS_ONGKIR,59000,Dengan Promo
2022-07-10,67570,,67570,Tanpa Promo
2022-07-10,200000,,200000,Tanpa Promo
2022-07-10,208000,GRATIS_ONGKIR,203000,Dengan Promo
2022-07-10,25000,,25000,Tanpa Promo
2022-07-10,750000,GRATIS_ONGKIR,745000,Dengan Promo
2022-07-10,440000,GRATIS_ONGKIR,435000,Dengan Promo
2022-07-10,8760000,,8760000,Tanpa Promo
2022-07-10,66686,,66686,Tanpa Promo
2022-07-10,94500,GRATIS_ONGKIR,89500,Dengan Promo
2022-07-10,228000,,228000,Tanpa Promo
2022-07-10,24900,,24900,Tanpa Promo
2022-07-10,290000,,290000,Tanpa Promo
2022-07-11,135290,GRATIS_ONGKIR,130290,Dengan Promo
2022-07-11,292500,GRATIS_ONGKIR,287500,Dengan Promo
2022-07-11,387600,GRATIS_ONGKIR,382600,Dengan Promo
2022-07-11,227700,GRATIS_ONGKIR,222700,Dengan Promo
2022-07-11,1437000,,1437000,Tanpa Promo
2022-07-11,569700,GRATIS_ONGKIR,564700,Dengan Promo
2022-07-11,124800,GRATIS_ONGKIR,119800,Dengan Promo
2022-07-11,120000,,120000,Tanpa Promo
2022-07-11,337500,GRATIS_ONGKIR,332500,Dengan Promo
2022-07-11,256000,GRATIS_ONGKIR,251000,Dengan Promo
2022-07-11,81000,,81000,Tanpa Promo
2022-07-11,808275,GRATIS_ONGKIR,803275,Dengan Promo
2022-07-11,78002,,78002,Tanpa Promo
2022-07-11,157500,GRATIS_ONGKIR,152500,Dengan Promo
2022-07-11,165000,,165000,Tanpa Promo
2022-07-11,110000,GRATIS_ONGKIR,105000,Dengan Promo
2022-07-11,449700,,449700,Tanpa Promo
2022-07-11,1350000,,1350000,Tanpa Promo
2022-07-11,175000,,175000,Tanpa Promo
2022-07-11,65000,,65000,Tanpa Promo
2022-07-11,137776,GRATIS_ONGKIR,132776,Dengan Promo
2022-07-11,124900,GRATIS_ONGKIR,119900,Dengan Promo
2022-07-11,113970,,113970,Tanpa Promo
2022-07-11,23214,,23214,Tanpa Promo
2022-07-11,480000,,480000,Tanpa Promo
2022-07-11,39800,GRATIS_ONGKIR,34800,Dengan Promo
2022-07-11,68888,GRATIS_ONGKIR,63888,Dengan Promo
2022-07-11,45900,,45900,Tanpa Promo
2022-07-11,1128000,,1128000,Tanpa Promo
2022-07-11,186000,GRATIS_ONGKIR,181000,Dengan Promo
2022-07-12,155000,,155000,Tanpa Promo
2022-07-12,399998,GRATIS_ONGKIR,394998,Dengan Promo
2022-07-12,125100,,125100,Tanpa Promo
2022-07-12,66000,,66000,Tanpa Promo
2022-07-12,110925,,110925,Tanpa Promo
2022-07-12,8550000,,8550000,Tanpa Promo
2022-07-12,537000,,537000,Tanpa Promo
2022-07-12,510150,,510150,Tanpa Promo
2022-07-12,70000,GRATIS_ONGKIR,65000,Dengan Promo
2022-07-12,80000,,80000,Tanpa Promo
2022-07-12,35200,GRATIS_ONGKIR,30200,Dengan Promo
2022-07-12,471750,GRATIS_ONGKIR,466750,Dengan Promo
2022-07-12,9900,,9900,Tanpa Promo
2022-07-12,175000,GRATIS_ONGKIR,170000,Dengan Promo
2022-07-12,39900,,39900,Tanpa Promo
2022-07-12,27600,GRATIS_ONGKIR,22600,Dengan Promo
2022-07-12,159000,GRATIS_ONGKIR,154000,Dengan Promo
2022-07-12,128000,GRATIS_ONGKIR,123000,Dengan Promo
2022-07-12,279000,,279000,Tanpa Promo
2022-07-12,1415000,GRATIS_ONGKIR,1410000,Dengan Promo
2022-07-12,55000,GRATIS_ONGKIR,50000,Dengan Promo
2022-07-12,239850,GRATIS_ONGKIR,234850,Dengan Promo
2022-07-12,105000,,105000,Tanpa Promo
2022-07-12,220000,,220000,Tanpa Promo
2022-07-12,300000,GRATIS_ONGKIR,295000,Dengan Promo
2022-07-12,84150,GRATIS_ONGKIR,79150,Dengan Promo
2022-07-12,159000,GRATIS_ONGKIR,154000,Dengan Promo
2022-07-12,110000,,110000,Tanpa Promo
2022-07-12,1125000,,1125000,Tanpa Promo
2022-07-13,65000,,65000,Tanpa Promo
2022-07-13,50000,GRATIS_ONGKIR,45000,Dengan Promo
2022-07-13,36800,,36800,Tanpa Promo
2022-07-13,50000,,50000,Tanpa Promo
2022-07-13,260000,,260000,Tanpa Promo
2022-07-13,2250000,GRATIS_ONGKIR,2245000,Dengan Promo
2022-07-13,39900,,39900,Tanpa Promo
2022-07-13,57500,GRATIS_ONGKIR,52500,Dengan Promo
2022-07-13,143400,,143400,Tanpa Promo
2022-07-13,299300,,299300,Tanpa Promo
2022-07-13,837000,,837000,Tanpa Promo
2022-07-13,478800,GRATIS_ONGKIR,473800,Dengan Promo
2022-07-13,155000,,155000,Tanpa Promo
2022-07-13,780000,,780000,Tanpa Promo
2022-07-13,101000,GRATIS_ONGKIR,96000,Dengan Promo
2022-07-13,48000,GRATIS_ONGKIR,43000,Dengan Promo
2022-07-13,131120,GRATIS_ONGKIR,126120,Dengan Promo
2022-07-13,337500,GRATIS_ONGKIR,332500,Dengan Promo
2022-07-13,17400,GRATIS_ONGKIR,12400,Dengan Promo
2022-07-13,438000,,438000,Tanpa Promo
2022-07-13,29600,,29600,Tanpa Promo
2022-07-13,79800,,79800,Tanpa Promo
2022-07-13,1350,GRATIS_ONGKIR,-3650,Dengan Promo
2022-07-13,170000,,170000,Tanpa Promo
2022-07-13,27887,,27887,Tanpa Promo
2022-07-13,581400,,581400,Tanpa Promo
2022-07-13,112000,GRATIS_ONGKIR,107000,Dengan Promo
2022-07-13,59000,GRATIS_ONGKIR,54000,Dengan Promo
2022-07-13,4874,,4874,Tanpa Promo
2022-07-13,65500,GRATIS_ONGKIR,60500,Dengan Promo
2022-07-13,139800,GRATIS_ONGKIR,134800,Dengan Promo
2022-07-13,189000,,189000,Tanpa Promo
2022-07-13,393360,,393360,Tanpa Promo
2022-07-13,370000,GRATIS_ONGKIR,365000,Dengan Promo
2022-07-13,9200,,9200,Tanpa Promo
2022-07-14,3700,GRATIS_ONGKIR,-1300,Dengan Promo
2022-07-14,1439000,,1439000,Tanpa Promo
2022-07-14,5097000,,5097000,Tanpa Promo
2022-07-14,130000,,130000,Tanpa Promo
2022-07-14,44000,,44000,Tanpa Promo
2022-07-14,149650,,149650,Tanpa Promo
2022-07-14,195000,,195000,Tanpa Promo
2022-07-14,20000,GRATIS_ONGKIR,15000,Dengan Promo
2022-07-14,105000,GRATIS_ONGKIR,100000,Dengan Promo
2022-07-14,38850,,38850,Tanpa Promo
2022-07-14,188000,GRATIS_ONGKIR,183000,Dengan Promo
2022-07-14,2025000,,2025000,Tanpa Promo
2022-07-14,506250,GRATIS_ONGKIR,501250,Dengan Promo
2022-07-14,49800,GRATIS_ONGKIR,44800,Dengan Promo
2022-07-14,399800,GRATIS_ONGKIR,394800,Dengan Promo
2022-07-14,3300,,3300,Tanpa Promo
2022-07-14,43000,GRATIS_ONGKIR,38000,Dengan Promo
2022-07-14,175000,,175000,Tanpa Promo
2022-07-14,78000,,78000,Tanpa Promo
2022-07-14,73500,GRATIS_ONGKIR,68500,Dengan Promo
2022-07-14,100029,,100029,Tanpa Promo
2022-07-14,1000,,1000,Tanpa Promo
2022-07-14,1850,,1850,Tanpa Promo
2022-07-14,3380,GRATIS_ONGKIR,-1620,Dengan Promo
2022-07-14,98750,GRATIS_ONGKIR,93750,Dengan Promo
2022-07-14,25790,,25790,Tanpa Promo
2022-07-14,145360,,145360,Tanpa Promo
2022-07-14,496500,,496500,Tanpa Promo
2022-07-14,345000,GRATIS_ONGKIR,340000,Dengan Promo
2022-07-14,178000,GRATIS_ONGKIR,173000,Dengan Promo
2022-07-14,299800,GRATIS_ONGKIR,294800,Dengan Promo
2022-07-15,117000,GRATIS_ONGKIR,112000,Dengan Promo
2022-07-15,168750,GRATIS_ONGKIR,163750,Dengan Promo
2022-07-15,390000,GRATIS_ONGKIR,385000,Dengan Promo
2022-07-15,1439000,,1439000,Tanpa Promo
2022-07-15,128300,,128300,Tanpa Promo
2022-07-15,51580,GRATIS_ONGKIR,46580,Dengan Promo
2022-08-03,24900,,24900,Tanpa Promo
2022-07-15,22900,GRATIS_ONGKIR,17900,Dengan Promo
2022-07-15,280000,GRATIS_ONGKIR,275000,Dengan Promo
2022-07-15,112000,GRATIS_ONGKIR,107000,Dengan Promo
2022-07-15,2920000,GRATIS_ONGKIR,2915000,Dengan Promo
2022-07-15,154500,GRATIS_ONGKIR,149500,Dengan Promo
2022-07-15,680000,GRATIS_ONGKIR,675000,Dengan Promo
2022-07-15,18400,,18400,Tanpa Promo
2022-07-15,62000,GRATIS_ONGKIR,57000,Dengan Promo
2022-07-15,60000,GRATIS_ONGKIR,55000,Dengan Promo
2022-07-15,218040,GRATIS_ONGKIR,213040,Dengan Promo
2022-07-15,110997,,110997,Tanpa Promo
2022-07-15,105600,,105600,Tanpa Promo
2022-07-15,62000,,62000,Tanpa Promo
2022-07-15,54561,,54561,Tanpa Promo
2022-07-15,650000,GRATIS_ONGKIR,645000,Dengan Promo
2022-07-15,375000,,375000,Tanpa Promo
2022-07-15,480000,,480000,Tanpa Promo
2022-07-15,337500,,337500,Tanpa Promo
2022-07-15,240000,GRATIS_ONGKIR,235000,Dengan Promo
2022-07-15,657000,GRATIS_ONGKIR,652000,Dengan Promo
2022-07-15,192000,GRATIS_ONGKIR,187000,Dengan Promo
2022-07-16,462000,GRATIS_ONGKIR,457000,Dengan Promo
2022-07-16,260000,,260000,Tanpa Promo
2022-07-16,253935,,253935,Tanpa Promo
2022-07-16,290000,,290000,Tanpa Promo
2022-07-16,64150,,64150,Tanpa Promo
2022-07-16,506250,,506250,Tanpa Promo
2022-07-16,50000,,50000,Tanpa Promo
2022-07-16,390000,,390000,Tanpa Promo
2022-07-16,68888,,68888,Tanpa Promo
2022-07-16,198000,GRATIS_ONGKIR,193000,Dengan Promo
2022-07-16,25000,,25000,Tanpa Promo
2022-07-16,239800,GRATIS_ONGKIR,234800,Dengan Promo
2022-07-16,506250,,506250,Tanpa Promo
2022-07-16,22500,,22500,Tanpa Promo
2022-07-16,100000,GRATIS_ONGKIR,95000,Dengan Promo
2022-07-16,181500,GRATIS_ONGKIR,176500,Dengan Promo
2022-07-16,157500,,157500,Tanpa Promo
2022-07-16,49575,,49575,Tanpa Promo
2022-07-16,110000,GRATIS_ONGKIR,105000,Dengan Promo
2022-07-16,12125,GRATIS_ONGKIR,7125,Dengan Promo
2022-07-16,69000,GRATIS_ONGKIR,64000,Dengan Promo
2022-07-16,179997,,179997,Tanpa Promo
2022-07-17,207000,,207000,Tanpa Promo
2022-07-17,125000,GRATIS_ONGKIR,120000,Dengan Promo
2022-07-17,89000,GRATIS_ONGKIR,84000,Dengan Promo
2022-07-17,159000,,159000,Tanpa Promo
2022-07-17,51000,GRATIS_ONGKIR,46000,Dengan Promo
2022-07-17,51000,,51000,Tanpa Promo
2022-07-17,578700,,578700,Tanpa Promo
2022-07-17,330000,,330000,Tanpa Promo
2022-07-17,99150,GRATIS_ONGKIR,94150,Dengan Promo
2022-07-17,148500,,148500,Tanpa Promo
2022-07-17,168750,,168750,Tanpa Promo
2022-07-17,495000,GRATIS_ONGKIR,490000,Dengan Promo
2022-07-17,69600,,69600,Tanpa Promo
2022-07-17,1350,GRATIS_ONGKIR,-3650,Dengan Promo
2022-07-17,41990,,41990,Tanpa Promo
2022-07-17,156000,,156000,Tanpa Promo
2022-07-17,4950060,,4950060,Tanpa Promo
2022-07-17,1350000,,1350000,Tanpa Promo
2022-07-17,179000,,179000,Tanpa Promo
2022-07-17,130000,,130000,Tanpa Promo
2022-07-17,310000,GRATIS_ONGKIR,305000,Dengan Promo
2022-07-17,310500,,310500,Tanpa Promo
2022-07-17,3700,,3700,Tanpa Promo
2022-07-17,199900,GRATIS_ONGKIR,194900,Dengan Promo
2022-07-17,405000,GRATIS_ONGKIR,400000,Dengan Promo
2022-07-17,958000,GRATIS_ONGKIR,953000,Dengan Promo
2022-07-17,86000,GRATIS_ONGKIR,81000,Dengan Promo
2022-07-17,70000,GRATIS_ONGKIR,65000,Dengan Promo
2022-07-17,178000,GRATIS_ONGKIR,173000,Dengan Promo
2022-07-17,112000,,112000,Tanpa Promo
2022-07-17,141000,,141000,Tanpa Promo
2022-07-17,129900,GRATIS_ONGKIR,124900,Dengan Promo
2022-07-17,615000,GRATIS_ONGKIR,610000,Dengan Promo
2022-07-18,480000,,480000,Tanpa Promo
2022-07-18,59000,,59000,Tanpa Promo
2022-07-18,64150,GRATIS_ONGKIR,59150,Dengan Promo
2022-07-18,654000,,654000,Tanpa Promo
2022-07-18,200700,GRATIS_ONGKIR,195700,Dengan Promo
2022-07-18,36000,GRATIS_ONGKIR,31000,Dengan Promo
2022-07-18,825000,,825000,Tanpa Promo
2022-07-18,128040,GRATIS_ONGKIR,123040,Dengan Promo
2022-07-18,138000,,138000,Tanpa Promo
2022-07-18,125000,GRATIS_ONGKIR,120000,Dengan Promo
2022-07-18,19425,GRATIS_ONGKIR,14425,Dengan Promo
2022-07-18,130000,,130000,Tanpa Promo
2022-07-18,31000,GRATIS_ONGKIR,26000,Dengan Promo
2022-07-18,1437000,GRATIS_ONGKIR,1432000,Dengan Promo
2022-07-18,393360,GRATIS_ONGKIR,388360,Dengan Promo
2022-07-18,199999,,199999,Tanpa Promo
2022-07-18,1347000,,1347000,Tanpa Promo
2022-07-18,195000,GRATIS_ONGKIR,190000,Dengan Promo
2022-07-18,74000,GRATIS_ONGKIR,69000,Dengan Promo
2022-07-18,290000,,290000,Tanpa Promo
2022-07-18,47888,,47888,Tanpa Promo
2022-07-18,125000,GRATIS_ONGKIR,120000,Dengan Promo
2022-07-18,581400,GRATIS_ONGKIR,576400,Dengan Promo
2022-07-18,58000,,58000,Tanpa Promo
2022-07-19,52000,GRATIS_ONGKIR,47000,Dengan Promo
2022-07-19,149625,GRATIS_ONGKIR,144625,Dengan Promo
2022-07-19,597000,GRATIS_ONGKIR,592000,Dengan Promo
2022-07-19,198000,GRATIS_ONGKIR,193000,Dengan Promo
